Individual Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Characteristics,Critical,Description,MFN,MPN,Notes,Package ID,Source,Subsystem
,,C1,47uF,Device:C_Polarized,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/BEYS/BEYSS04513/BEYSS04513-1.pdf,"CAPACITOR, ALUMINUM ELECTROLYTIC, NON SOLID, POLARIZED, 50 V, 47 uF, SURFACE MOUNT, 3131, CHIP, ROHS COMPLIANT",N,47uF Low ESR LDO Input Cap,Vishay,MAL215371479E3,ESR must fall between 0.33Ω and 22Ω,SMD 5.0 x 5.0 x 5.3,ANY,Voltage_Reg
,,C2,47uF,Device:C_Polarized,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/BEYS/BEYSS04513/BEYSS04513-1.pdf,"CAPACITOR, ALUMINUM ELECTROLYTIC, NON SOLID, POLARIZED, 50 V, 47 uF, SURFACE MOUNT, 3131, CHIP, ROHS COMPLIANT",N,47uF Low ESR LDO Output Cap,Vishay,MAL215371479E3,ESR must fall between 0.33Ω and 22Ω,SMD 5.0 x 5.0 x 5.3,ANY,Voltage_Reg
,,C3,0.1 uF,Device:C,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf,"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT",N,LDO Bypass Cap,Kemet,C0805C104K1RACAUTO,~,SMD_0805,ANY,Voltage_Reg
,,C4,0.1 uF,Device:C,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf,"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT",N,LDO Bypass Cap,Kemet,C0805C104K1RACAUTO,~,SMD_0805,ANY,Voltage_Mgmt
,,C5,1uF,Device:C,~,http://www.kemet.com/docfinder?Partnumber=C0805C105K8RACAUTO,"CAPACITOR, CERAMIC, MULTILAYER, 10 V, X7R, 1 uF, SURFACE MOUNT, 0805",N,3V3 LDO Input Cap,Kemet,C0805C105K8RACAUTO ,~,SMD_0805,ANY,Voltage_Mgmt
,,C6,2.2uF,Device:C,~,http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf,CAP CER 2.2UF 16V X7R 0805,Y,2.2uF 3V3 LDO Output Cap,TDK Corporation,C2012X7R1C225K125AB,Must be between 0.001 and 1Ω ESR,SMD_0805,ANY,Voltage_Mgmt
,,C7,20pF,Device:C,~,http://www.kemet.com/docfinder?Partnumber=C0805C200G5GACTU,CAP CER 20PF 50V 2% NP0 0805,Y,20pF ATMEGA16U2 XTAL Load Cap,Kemet,C0805C200G5GACTU,Must match tolerance,SMD_0805,Any,16U2_Sub
,,C8,20pF,Device:C,~,http://www.kemet.com/docfinder?Partnumber=C0805C200G5GACTU,CAP CER 20PF 50V 2% NP0 0805,Y,20pF ATMEGA16U2 XTAL Load Cap,Kemet,C0805C200G5GACTU,Must match tolerance,SMD_0805,Any,16U2_Sub
,,C9,0.1 uF,Device:C,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf,"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT",N,ATMEGA16U2 VCC Bypass Cap,Kemet,C0805C104K1RACAUTO,~,SMD_0805,ANY,16U2_Sub
,,C10,1uF,Device:C,~,http://www.kemet.com/docfinder?Partnumber=C0805C105K8RACAUTO,"CAPACITOR, CERAMIC, MULTILAYER, 10 V, X7R, 1 uF, SURFACE MOUNT, 0805",N,ATMEGA16U2 1uF UCAP ,Kemet,C0805C105K8RACAUTO ,~,SMD_0805,ANY,16U2_Sub
