Reference	 Value	 Footprint	 Datasheet	 Characteristics	 Description	 MFN	 MFP	 Package ID	 Source	 Critical	 Subsystem	 Notes
C1	47uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/BEYS/BEYSS04513/BEYSS04513-1.pdf	"CAPACITOR, ALUMINUM ELECTROLYTIC, NON SOLID, POLARIZED, 50 V, 47 uF, SURFACE MOUNT, 3131, CHIP, ROHS COMPLIANT"	47uF Low ESR LDO Input Cap	Vishay	MAL215371479E3	SMD 5.0 x 5.0 x 5.3	ANY	N	Voltage_Reg	ESR must fall between 0.33Ω and 22Ω
C10	1uF		http://www.kemet.com/docfinder?Partnumber=C0805C105K8RACAUTO	"CAPACITOR, CERAMIC, MULTILAYER, 10 V, X7R, 1 uF, SURFACE MOUNT, 0805"	ATMEGA16U2 1uF UCAP 	Kemet	C0805C105K8RACAUTO 	SMD_0805	ANY	N	16U2_Sub	
C11	0.1 uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf	"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT"	ATMEGA328P Reset Cap	Kemet	C0805C104K1RACAUTO	SMD_0805	ANY	N	328P_Sub	
C14	0.1 uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf	"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT"	ATMEGA328P AREF Bypass Cap	Kemet	C0805C104K1RACAUTO	SMD_0805	ANY	N	328P_Sub	
C15	0.1 uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf	"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT"	ATMEGA328P VCC and AVCC Bypass Cap	Kemet	C0805C104K1RACAUTO	SMD_0805	ANY	N	328P_Sub	
C2	47uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/BEYS/BEYSS04513/BEYSS04513-1.pdf	"CAPACITOR, ALUMINUM ELECTROLYTIC, NON SOLID, POLARIZED, 50 V, 47 uF, SURFACE MOUNT, 3131, CHIP, ROHS COMPLIANT"	47uF Low ESR LDO Output Cap	Vishay	MAL215371479E3	SMD 5.0 x 5.0 x 5.3	ANY	N	Voltage_Reg	ESR must fall between 0.33Ω and 22Ω
C3	0.1 uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf	"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT"	LDO Bypass Cap	Kemet	C0805C104K1RACAUTO	SMD_0805	ANY	N	Voltage_Reg	
C4	0.1 uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf	"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT"	LDO Bypass Cap	Kemet	C0805C104K1RACAUTO	SMD_0805	ANY	N	Voltage_Mgmt	
C5	1uF		http://www.kemet.com/docfinder?Partnumber=C0805C105K8RACAUTO	"CAPACITOR, CERAMIC, MULTILAYER, 10 V, X7R, 1 uF, SURFACE MOUNT, 0805"	3V3 LDO Input Cap	Kemet	C0805C105K8RACAUTO 	SMD_0805	ANY	N	Voltage_Mgmt	
C6	2.2uF		http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf	CAP CER 2.2UF 16V X7R 0805	2.2uF 3V3 LDO Output Cap	TDK Corporation	C2012X7R1C225K125AB	SMD_0805	ANY	Y	Voltage_Mgmt	Must be between 0.001 and 1Ω ESR
C7	20pF		http://www.kemet.com/docfinder?Partnumber=C0805C200G5GACTU	CAP CER 20PF 50V 2% NP0 0805	20pF ATMEGA16U2 XTAL Load Cap	Kemet	C0805C200G5GACTU	SMD_0805	Any	Y	16U2_Sub	Must match tolerance
C8	20pF		http://www.kemet.com/docfinder?Partnumber=C0805C200G5GACTU	CAP CER 20PF 50V 2% NP0 0805	20pF ATMEGA16U2 XTAL Load Cap	Kemet	C0805C200G5GACTU	SMD_0805	Any	Y	16U2_Sub	Must match tolerance
C9	0.1 uF		http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf	"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT"	ATMEGA16U2 VCC Bypass Cap	Kemet	C0805C104K1RACAUTO	SMD_0805	ANY	N	16U2_Sub	
CON1	BARREL_JACK		http://katalog.we-online.de/em/datasheet/6941xx106102.pdf	"CONN PWR JACK DC RA SMD	"	9V Barrel Jack	Wurth Electronics	6.94106E+11	Custom SMD	ANY	N	Voltage_Reg	Any sub must match footprint
D1	DIODE		http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF	"1A, 1000V, SILICON, SIGNAL DIODE, ROHS COMPLIANT, COMPACT, PLASTIC, CASE 403D-02, SMA, 2 PIN"	Reverse Voltage Protection Diode	ON Semi	MRA4007T3G	R-PDSO-J2	ANY	N	Voltage_Reg	
D2	LED		http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf	LED CHIPLED 570NM GREEN	Power On Green LED	OSRAM Opto	LG R971-KN-1	SMD_0805	ANY	N	Voltage_Reg	
D3	LED		http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf	LED CHIPLED 570NM GREEN	Power On Green LED	OSRAM Opto	LG R971-KN-1	SMD_0805	ANY	N	Pin13_LED	
D4	1N4148W-7-F		http://www.diodes.com/_files/datasheets/ds30086.pdf	DIODE GEN PURP 100V 300MA SOD123	ATMEGA16U2 ICSP Reset Voltage Spike Protection	Diodes Inc	1N4148W-7-F	SOD123	ANY	N	16U2_Sub	
D5	LED		http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf	LED CHIPLED 570NM GREEN	Serial Tx Green LED	OSRAM Opto	LG R971-KN-1	SMD_0805	ANY	N	16U2_Sub	
D6	LED		http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf	LED CHIPLED 570NM GREEN	Serial Rx Green LED	OSRAM Opto	LG R971-KN-1	SMD_0805	ANY	N	16U2_Sub	
D7	1N4148W-7-F		http://www.diodes.com/_files/datasheets/ds30086.pdf	DIODE GEN PURP 100V 300MA SOD123	ATMEGA328P ICSP Reset Voltage Spike Protection	Diodes Inc	1N4148W-7-F	SOD123	ANY	N	328P_Sub	
FB1	BLM21PG221SN1D		http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0110S0100BLM21P.pdf	"2 A, FERRITE CHIP, EIA STD PACKAGE SIZE 0805"	USB Ferrite Bead	Murata	BLM21PG221SN1D	SMD_0805	ANY	N	USB_Cnxn	Must meet 2A tolerance rating
ICSP1	M20-9980346		http://cdn.harwin.com/pdfs/M20-998.pdf	"6 CONTACT(S), MALE, STRAIGHT TWO PART BOARD CONNECTOR"	ATMEGA16U2 ICSP Header	Harwin	M20-9980346	PTH	ANY	N	16U2_Sub	
ICSP2	M20-9980346		http://cdn.harwin.com/pdfs/M20-998.pdf	"6 CONTACT(S), MALE, STRAIGHT TWO PART BOARD CONNECTOR"	ATMEGA328P ICSP Header	Harwin	M20-9980346	PTH	ANY	N	328P_Sub	
